word,rank,lemma,duplicate
sr,121,señor,False
aqui,321,aquí,False
asi,592,así,False
ejército,801,ejército,False
llevar,803,llevar,True
venido,805,venir,True
listos,806,listo,True
haremos,807,hacer,True
sitio,808,sitio,True
verlo,809,ver,True
puesto,810,puesto,True
atención,812,atención,False
sino,813,sino,False
cambiar,814,cambiar,True
error,815,error,True
blanco,816,blanco,False
raro,817,raro,True
palabras,818,palabra,False
llegó,819,llegar,True
sal,820,sal,False
pase,822,pasar,True
mente,823,mente,True
sistema,824,sistema,True
película,825,película,False
anda,826,andar,True
ello,827,ello,False
novia,830,novia,False
permiso,831,permiso,False
creí,832,creer,True
suena,833,sonar,True
ocurre,834,ocurrir,True
oficial,835,oficial,False
espere,836,esperar,True
aire,837,aire,False
mató,838,matar,True
regresar,839,regresar,True
vio,840,ver,True
hazlo,841,hacer,True
trasero,842,trasero,True
grupo,843,grupo,True
entendido,844,entender,True
señorita,845,señorita,True
música,846,música,False
perra,847,perra,False
conoce,848,conocer,True
siente,850,sentir,True
acabo,852,acabar,True
estúpido,853,estúpido,True
diferente,854,diferente,False
traje,855,traer,True
modo,857,modo,False
encontré,858,encontrar,True
mensaje,859,mensaje,True
llamada,860,llamada,False
navidad,862,navidad,False
eras,863,ser,True
entra,868,entrar,True
foto,871,foto,False
dijeron,872,decir,True
médico,873,médico,True
accidente,874,accidente,False
fuiste,875,ir,True
imposible,877,imposible,False
podríamos,878,poder,True
línea,879,línea,True
propia,880,propio,True
barco,881,barco,True
ganar,882,ganar,True
normal,883,normal,True
segundos,884,segundo,False
vive,885,vivir,True
mitad,886,mitad,False
quiera,887,querer,True
tras,888,tras,False
decirle,889,decir,True
lindo,890,lindo,True
funciona,891,funcionar,True
programa,892,programa,True
vine,893,venir,True
abre,894,abrir,True
sean,895,ser,True
pagar,896,pagar,True
fotos,897,foto,False
centro,898,centro,False
cerebro,1022,cerebro,False
porqué,1023,porqué,False
santo,1025,santo,True
hermoso,1026,hermoso,True
necesario,1027,necesario,False
edificio,1028,edificio,False
irnos,1029,ir,True
aun,1030,aun,False
tendremos,1031,tener,True
vayas,1032,ir,True
doy,1033,dar,True
trae,1034,traer,True
salió,1035,salir,True
ley,1036,ley,False
ahi,1037,ahí,False
verdadero,1038,verdadero,True
pelea,1039,pelea,False
banco,1041,banco,True
terrible,1042,terrible,False
calma,1043,calma,False
cena,1045,cena,False
daré,1047,dar,True
gobierno,1048,gobierno,False
comprar,1049,comprar,True
creen,1050,creer,True
sargento,1052,sargento,False
existe,1054,existir,True
hacía,1055,hacer,True
novio,1056,novio,False
sala,1057,sala,False
través,1058,través,False
regalo,1059,regalo,True
decía,1062,decir,True
cualquiera,1063,cualquiera,False
excelente,1064,excelente,False
esperen,1065,esperar,True
alma,1068,alma,False
diablo,1069,diablo,True
deje,1070,dejar,True
cuántos,1071,cuántos,False
espada,1072,espada,False
estábamos,1073,estar,True
maravilloso,1075,maravilloso,False
vidas,1076,vida,False
sucedió,1077,suceder,True
oí,1078,oír,True
peligroso,1079,peligroso,True
dirección,1080,dirección,False
libertad,1081,libertad,False
jesús,1082,Jesús,False
ocurrió,1083,ocurrir,True
veré,1084,ver,True
sueños,1085,sueño,False
pudiera,1086,poder,True
detective,1087,detective,False
tuya,1089,tuyo,True
pies,1090,pie,True
club,1091,club,False
terminado,1092,terminar,True
infierno,1093,infierno,False
creía,1094,creer,True
luna,1095,luna,False
salvar,1096,salvar,True
carta,1097,carta,False
estés,1098,estar,True
cielos,1099,cielo,False
teniente,1100,teniente,False
veamos,1102,ver,True
quise,1103,querer,True
escúchame,1104,escuchar,True
necesitan,1105,necesitar,True
ambos,1106,ambos,False
decisión,1108,decisión,False
enemigo,1109,enemigo,False
hicimos,1110,hacer,True
dulce,1111,dulce,True
pruebas,1112,prueba,False
querías,1114,querer,True
abuelo,1115,abuelo,False
totalmente,1116,totalmente,False
mirando,1117,mirar,True
vayan,1118,ir,True
pene,2906,pene,False
altura,3001,altura,False
todavia,3002,todavía,False
preparados,3003,preparado,False
cuáles,3005,cuál,False
mover,3006,mover,True
jugador,3007,jugador,True
izquierdo,3008,izquierdo,False
tecnología,3009,tecnología,False
raza,3010,raza,False
conocerlo,3011,conocer,True
conde,3012,conde,False
social,3013,social,False
gobernador,3014,gobernador,False
coge,3015,coger,True
chiste,3018,chiste,False
celda,3020,celda,False
agarra,3021,agarrar,True
secreta,3022,secreto,False
personalmente,3023,personalmente,False
amistad,3024,amistad,False
amaba,3025,amar,True
interesado,3027,interesado,False
intentado,3029,intentar,True
educación,3030,educación,False
curiosidad,3031,curiosidad,False
buscan,3032,buscar,True
repito,3033,repetir,False
pecado,3034,pecado,True
mortal,3036,mortal,False
manda,3037,mandar,True
claramente,3039,claramente,False
juntas,3041,junta,False
identificación,3043,identificación,False
declaración,3045,declaración,False
alemán,3046,alemán,True
tontos,3047,tonto,True
bestia,3049,bestia,False
veneno,3050,veneno,False
vecinos,3051,vecino,True
supiera,3052,saber,True
quieran,3053,querer,True
salgo,3054,salir,True
propias,3055,propio,True
privada,3056,privado,False
jurado,3057,jurado,False
golpes,3059,golpe,True
usan,3060,usar,True
metas,3061,meta,True
garganta,3063,garganta,False
invierno,3064,invierno,False
fila,3065,fila,False
miel,3066,miel,False
traigan,3067,traer,True
sucedido,3068,sucedido,False
tranquilos,3070,tranquilo,False
burro,3072,burro,False
artista,3073,artista,False
pobres,3074,pobre,True
impresión,3075,impresión,False
ganó,3076,ganar,True
cruzar,3077,cruzar,False
cigarrillos,3078,cigarrillo,False
ó,3079,ó,False
llevarme,3080,llevar,True
grial,3081,grial,False
chaqueta,3082,chaqueta,False
vueltas,3084,vuelta,False
usado,3086,usar,True
reputación,3088,reputación,False
pongas,3089,poner,True
oxígeno,3090,oxígeno,False
cajas,3091,caja,True
preocupada,3092,preocupado,False
matan,3094,matar,True
empezando,3095,empezar,True
cabezas,3096,cabeza,False
ponerme,3097,poner,True
experto,3098,experto,False
océano,3099,océano,False
maestra,3100,maestra,False
pieza,3102,pieza,True
cargos,3103,cargo,True
bombas,3104,bomba,True
alcohol,3105,alcohol,False
salen,3107,salir,True
pizza,3108,pizza,False
recibí,3109,recibir,True
junta,3110,junta,False
criaturas,3112,criatura,True
apareció,3113,aparecer,True
actitud,3114,actitud,False
gira,3115,gira,False
cristal,3117,cristal,False
encuentran,3118,encontrar,True
dejarte,3119,dejar,True
caído,3120,caído,False
ultima,3122,último,True
seguido,3124,seguido,False
puro,3126,puro,True
whisky,3127,whisky,False
vernos,3128,ver,True
pantalla,3129,pantalla,False
bebida,3130,bebida,False
estudiar,3132,estudiar,False
ducha,3133,ducha,False
despedido,3135,despedido,False
venía,3138,venir,True
pagan,3139,pagar,True
discúlpame,3140,disculpar,True
artículo,3141,artículo,False
ambas,3143,ambos,False
trauma,3144,trauma,False
pusieron,3145,poner,True
fiestas,3146,fiesta,False
contesta,3147,contestar,True
contenta,3148,contento,False
ambiente,3150,ambiente,False
prometí,3151,prometer,True
llegando,3152,llegar,True
mostraré,3153,mostrar,True
deba,3154,deber,True
berlín,3155,Berlín,False
nerviosa,3156,nervioso,True
hallar,3157,hallar,False
dudas,3158,duda,True
llegan,3160,llegar,True
instrucciones,3161,instrucción,False
baje,3162,bajar,True
vinimos,3163,venir,True
quédense,3165,quedar,True
suponía,3166,suponer,True
pistas,3167,pista,False
palacio,3168,palacio,False
encontraré,3169,encontrar,True
venta,3170,venta,False
urgente,3171,urgente,False
tomamos,3172,tomar,True
salí,3173,salir,True
cuerda,3174,cuerda,False
vendría,3176,venir,True
pasaba,3177,pasar,True
instante,3178,instante,False
almas,3179,alma,False
suficientes,3180,suficiente,False
secundaria,3181,secundario,False
saltar,3182,saltar,True
queria,3183,querer,True
quedarnos,3184,quedar,True
molesto,3185,molesto,False
porquería,3188,porquería,False
sienten,3189,sentir,True
pondrá,3191,poner,True
terroristas,3192,terrorista,True
empecé,3193,empezar,True
pongan,3194,poner,True
moto,3195,moto,False
opinas,3196,opinar,False
habilidad,3197,habilidad,True
entren,3198,entrar,True
descubierto,3199,descubierto,False
convertido,3201,convertido,False
asegúrate,3203,asegurar,True
quedé,3204,quedar,True
kilos,3205,kilo,False
florida,3206,florido,False
tomará,3207,tomar,True
sufrir,3208,sufrir,True
mental,3209,mental,False
instituto,3211,instituto,False
serlo,3212,ser,True
rapido,3213,rápido,True
plato,3214,plato,True
llorando,3215,llorar,True
vd,3216,usted,True
váyase,3217,ir,True
sucediendo,3218,suceder,True
robaron,3219,robar,True
alemania,3220,Alemania,False
bolas,3221,bola,True
pasaría,3222,pasar,True
ocurra,3223,ocurrir,True
ilegal,3224,ilegal,False
fresco,3225,fresco,True
falso,3226,falso,False
abogados,3227,abogado,True
tómalo,3228,tomar,True
mandó,3229,mandar,True
cuán,3230,cuán,False
cuales,3231,cual,False
botas,3232,bota,False
tiburones,3234,tiburón,True
grado,3235,grado,True
deseas,3236,desear,True
archivos,3237,archivo,True
adivina,3238,adivinar,True
cruz,3239,cruz,False
campaña,3240,campaña,False
asustada,3241,asustado,False
centavos,3243,centavo,True
vivimos,3244,vivir,True
galletas,3245,galleta,False
frecuencia,3246,frecuencia,False
daños,3247,daño,False
minas,3248,mina,True
emociones,3249,emoción,True
dejará,3250,dejar,True
regresó,3251,regresar,True
ratas,3252,rata,True
pasión,3253,pasión,False
hacerse,3254,hacer,True
comportamiento,3255,comportamiento,False
pense,3256,pensar,True
conocimiento,3257,conocimiento,False
sales,3258,salir,True
fiscal,3259,fiscal,False
decisiones,3260,decisión,False
criminales,3261,criminal,False
cámaras,3262,cámara,True
amanecer,3263,amanecer,False
convirtió,3264,convertir,True
aldea,3265,aldea,False
obvio,3267,obvio,False
habíamos,3268,haber,True
apesta,3269,apestar,False
abandonado,3270,abandonado,False
volverás,3272,volver,True
preocuparse,3273,preocupar,True
favorita,3274,favorito,True
difíciles,3276,difícil,True
vivido,3277,vivir,True
roca,3278,roca,True
peces,3279,pez,False
maravilla,3280,maravilla,False
espacial,3281,espacial,False
conductor,3282,conductor,False
camarada,3283,camarada,False
trabajado,3284,trabajar,True
caramba,3285,caramba,False
sopa,3286,sopa,False
numero,3287,número,False
gritar,3288,gritar,True
envía,3289,enviar,True
casino,3290,casino,False
alteza,3291,alteza,False
identidad,3292,identidad,False
cambios,3293,cambio,False
guardar,3294,guardar,True
gatos,3295,gato,True
gané,3296,ganar,True
arresto,3297,arresto,False
éstas,3299,esta,False
preguntó,3301,preguntar,True
éstos,3302,esto,True
probable,3304,probable,False
seamos,3305,ser,True
importaría,3306,importar,True
firmar,3307,firmar,False
federal,3308,federal,True
caras,3309,cara,False
trabajos,3310,trabajo,False
hagámoslo,3311,hacer,True
expediente,3312,expediente,True
tigre,3313,tigre,False
intentó,3314,intentar,True
harto,3315,harto,False
decidir,3317,decidir,True
periódicos,3318,periódico,False
casarse,3319,casar,True
lento,3320,lento,False
hecha,3321,hecho,False
daba,3323,dar,True
ponerte,3324,poner,True
pelotas,3325,pelota,False
monstruos,3326,monstruo,False
cruel,3327,cruel,False
señoritas,3328,señorita,True
gigante,3329,gigante,False
siglos,3330,siglo,True
escalera,3331,escalera,True
incidente,3332,incidente,False
escenario,3333,escenario,False
dirás,3334,decir,True
ciertas,3335,cierto,True
casar,3336,casar,True
llamen,3337,llamar,True
biblia,3338,biblia,False
reporte,3339,reporte,False
casada,3341,casado,True
reacción,3343,reacción,False
falla,3344,falla,False
castigo,3346,castigo,False
fácilmente,3348,fácilmente,False
caza,3349,caza,False
magnífico,3351,magnífico,False
decidí,3352,decidir,True
camina,3353,caminar,True
superficie,3354,superficie,False
condición,3356,condición,True
asalto,3357,asalto,False
virgen,3359,virgen,False
verle,3360,ver,True
conocimos,3361,conocer,True
quitar,3362,quitar,True
tratas,3363,tratar,True
noble,3364,noble,False
hierba,3365,hierba,False
excelencia,3366,excelencia,False
asco,3367,asco,False
título,3368,título,False
impuestos,3379,impuesto,False
alla,3394,allá,True
jesucristo,3409,Jesucristo,False
echo,3493,echar,True
cogido,5388,cogido,False
batería,5390,batería,False
visual,5391,visual,False
reconoce,5392,reconocer,True
pedimos,5393,pedir,True
niebla,5394,niebla,False
métodos,5395,método,False
durmió,5396,dormir,True
desfile,5397,desfile,False
creciendo,5399,crecer,True
continua,5400,continuo,False
borracha,5402,borracho,True
beca,5403,beca,False
adolescente,5404,adolescente,False
actos,5405,acto,True
mágica,5406,mágico,False
imbéciles,5407,imbécil,False
huyendo,5408,huir,True
fotógrafo,5409,fotógrafo,False
experimentos,5410,experimento,True
edificios,5411,edificio,False
deténganse,5412,detener,True
cálmense,5413,calmar,True
atmósfera,5414,atmósfera,False
acabaron,5415,acabar,True
votos,5416,voto,False
tareas,5417,tarea,True
presupuesto,5418,presupuesto,False
persecución,5419,persecución,False
enseñarle,5420,enseñar,True
enfermos,5421,enfermo,True
cortes,5422,corte,True
contaste,5424,contar,True
recuerdan,5425,recordar,True
probabilidades,5426,probabilidad,False
núcleo,5427,núcleo,False
multitud,5428,multitud,False
moriré,5429,morir,True
empresas,5430,empresa,True
delta,5431,delta,False
asociación,5432,asociación,False
verdes,5433,verde,True
profesión,5434,profesión,False
pelotón,5435,pelotón,False
paro,5436,paro,False
largos,5438,largo,True
danos,5439,dar,True
creído,5440,creído,False
cosecha,5442,cosecha,False
cintas,5444,cinta,True
agallas,5445,agallas,False
vendido,5447,vendido,False
tortura,5449,tortura,False
suéltala,5451,soltar,True
sexuales,5452,sexual,True
retirado,5453,retirado,False
reconoces,5455,reconocer,True
pudieran,5456,poder,True
desorden,5457,desorden,False
desarrollo,5458,desarrollo,False
vodka,5461,vodka,False
violento,5462,violento,False
vestida,5463,vestido,False
probarlo,5465,probar,True
balón,5466,balón,False
población,5467,población,False
pechos,5468,pecho,False
ocurrirá,5469,ocurrir,True
mientes,5470,mentir,True
leal,5471,leal,False
jo,5472,jo,False
federación,5473,federación,False
dí,5474,dar,True
asustaste,5475,asustar,True
apártate,5476,apartar,False
vinieras,5477,venir,True
valioso,5478,valioso,False
profesora,5479,profesora,False
misericordia,5480,misericordia,False
mancha,5481,mancha,False
ilusión,5483,ilusión,False
habrás,5484,haber,True
golpeado,5485,golpear,True
generador,5486,generador,False
empiezas,5487,empezar,True
detuvo,5488,detener,True
despedir,5489,despedir,False
cuerdas,5490,cuerda,False
cráneo,5492,cráneo,False
champán,5493,champán,False
cartel,5494,cartel,False
campana,5495,campana,False
vendió,5496,vender,True
rompí,5497,romper,True
revistas,5498,revista,True
ordena,5499,ordenar,True
cállese,5500,callar,True
técnicamente,5502,técnicamente,False
remoto,5503,remoto,False
pudiéramos,5504,poder,True
pega,5505,pega,False
parto,5507,partir,True
nido,5508,nido,False
molestando,5509,molestar,True
gota,5510,gota,False
fracasado,5511,fracasado,False
esperé,5513,esperar,True
escúcheme,5514,escuchar,True
eco,5515,eco,False
duros,5516,duro,False
dispararle,5517,disparar,True
desaparecieron,5518,desaparecer,True
contarle,5519,contar,True
cargando,5520,cargar,True
caen,5521,caer,True
asesinó,5522,asesinar,True
prométeme,5523,prometer,True
políticos,5524,político,True
plantas,5525,planta,False
oculta,5527,oculto,False
mundos,5529,mundo,False
fines,5530,fin,False
dueños,5531,dueño,False
detén,5532,detener,True
cm,5533,cm,False
asesinar,5535,asesinar,True
agosto,5536,agosto,False
rojas,5537,roja,False
pantano,5539,pantano,False
opina,5540,opinar,False
odian,5541,odiar,True
llegaré,5542,llegar,True
impresionado,5543,impresionado,False
diciembre,5546,diciembre,False
decidimos,5547,decidir,True
conectado,5548,conectado,False
toco,5550,tocar,True
sinceramente,5551,sinceramente,False
relacionado,5552,relacionado,False
quedaron,5554,quedar,True
levanten,5555,levantar,True
espantoso,5556,espantoso,False
enseño,5557,enseñar,True
enfermedades,5558,enfermedad,True
divirtiendo,5559,divertir,True
cubre,5560,cubrir,True
confidencial,5561,confidencial,False
compre,5562,comprar,True
baúl,5563,baúl,False
baila,5564,bailar,True
ascenso,5567,ascenso,False
testimonio,5568,testimonio,False
saliera,5569,salir,True
resiste,5570,resistir,False
párate,5571,parar,True
ofrecer,5572,ofrecer,True
ocupo,5573,ocupar,True
merecía,5574,merecer,True
jabón,5575,jabón,False
hamburguesa,5576,hamburguesa,False
escuelas,5577,escuela,False
equivoco,5578,equívoco,False
caiga,5579,caer,True
beneficio,5580,beneficio,True
suéltalo,5581,soltar,True
rusa,5582,ruso,True
receta,5583,receta,False
modelos,5585,modelo,False
misterioso,5586,misterioso,False
esconder,5587,esconder,True
eche,5588,echar,True
contarte,5589,contar,True
callejón,5590,callejón,False
buscarla,5591,buscar,True
bonitas,5592,bonito,True
toquen,5593,tocar,True
rudo,5594,rudo,False
pasaré,5595,pasar,True
extrañé,5596,extrañar,True
detras,5597,detrás,True
detenerlos,5598,detener,True
delito,5599,delito,False
atacado,5600,atacado,False
traerlo,5602,traer,True
sentencia,5603,sentencia,False
sácame,5604,sacar,True
posibles,5605,posible,True
pagas,5607,pagar,True
mintió,5609,mentir,True
jefes,5610,jefe,False
excepción,5611,excepción,False
espadas,5612,espada,False
engañado,5613,engañado,False
débiles,5615,débil,False
corporación,5616,corporación,False
cerrados,5617,cerrado,True
carajos,5618,carajo,False
vería,5619,ver,True
seca,5620,seco,True
recibiendo,5622,recibir,True
pescar,5623,pescar,True
olvidas,5624,olvidar,True
naciones,5625,nación,True
llevara,5626,llevar,True
graciosa,5627,gracioso,True
emergencias,5628,emergencia,True
conviene,5629,convenir,False
comunicaciones,5630,comunicación,True
caí,5631,caer,True
ocuparé,5632,ocupar,True
niñita,5633,niñita,False
hazte,5634,hacer,True
estupenda,5635,estupendo,True
disciplina,5636,disciplina,False
case,5637,casar,True
arriesgado,5638,arriesgado,False
arquitecto,5640,arquitecto,False
vaticano,5641,Vaticano,False
traerme,5642,traer,True
tiroteo,5643,tiroteo,False
sirvo,5644,servir,True
sentirás,5645,sentir,True
ratón,5646,ratón,False
quitarme,5647,quitar,True
quedaba,5648,quedar,True
preguntan,5649,preguntar,True
permíteme,5650,permitir,True
masacre,5651,masacre,False
infancia,5652,infancia,False
indio,5653,indio,True
homosexual,5654,homosexual,False
chance,5655,chance,False
barba,5656,barba,False
artes,5657,arte,True
acerque,5658,acercar,True
susto,5659,susto,False
síntomas,5660,síntoma,False
salvarte,5661,salvar,True
sabio,5662,sabio,False
romance,5663,romance,False
petición,5664,petición,False
peligrosos,5665,peligroso,True
orinar,5666,orinar,False
macho,5667,macho,False
llevarse,5668,llevar,True
lindos,5669,lindo,True
protegerte,5670,proteger,True
profundidad,5671,profundidad,False
pides,5672,pedir,True
permanente,5673,permanente,False
investigaciones,5674,investigación,True
cruzando,5675,cruzar,False
comenzando,5676,comenzar,True
atrapada,5677,atrapado,False
trampas,5679,trampa,False
tomemos,5680,tomar,True
tímido,5681,tímido,False
ola,5682,ola,False
narices,5683,nariz,False
diana,5684,diana,False
presentarles,5686,presentar,True
pasaremos,5687,pasar,True
observa,5688,observar,True
nacer,5689,nacer,True
mona,5690,mona,False
mm,5692,mm,False
increíblemente,5694,increíblemente,False
despegar,5695,despegar,False
comentario,5696,comentario,False
sufre,5697,sufrir,True
ramera,5698,ramera,False
perfume,5699,perfume,False
oscura,5700,oscuro,False
olas,5701,ola,False
obligado,5702,obligado,False
noviembre,5704,noviembre,False
logré,5705,lograr,True
llevaría,5706,llevar,True
fallado,5707,fallado,False
escocia,5709,Escocia,False
destruyó,5710,destruir,False
conduciendo,5711,conducir,True
camiseta,5712,camiseta,False
venas,5713,vena,False
riendo,5714,reír,True
resistir,5715,resistir,False
pavo,5716,pavo,False
pagué,5717,pagar,True
nieto,5718,nieto,False
liberar,5719,liberar,False
hogares,5720,hogar,False
denle,5721,dar,True
barón,5722,barón,False
aguanto,5723,aguantar,True
vicepresidente,5724,vicepresidente,False
simón,5725,simón,False
querrías,5727,querer,True
quedara,5728,quedar,True
jodidos,5730,jodido,False
enfermeras,5732,enfermera,False
despertado,5733,despertado,False
comentarios,5735,comentario,False
alumnos,5736,alumno,False
aburrida,5737,aburrido,False
norma,5740,norma,False
musical,5742,musical,False
lápiz,5743,lápiz,False
jodan,5744,joder,True
fruta,5746,fruta,False
entran,5747,entrar,True
eléctrica,5748,eléctrica,False
crítica,5750,crítica,False
comí,5751,comer,True
chip,5752,chip,False
cargado,5753,cargado,False
altas,5755,alta,True
venden,5757,vender,True
superiores,5758,superior,True
sufriendo,5759,sufrir,True
sacamos,5760,sacar,True
invitó,5761,invitar,True
huelo,5762,oler,False
harían,5763,hacer,True
gastar,5764,gastar,False
escapa,5765,escapar,True
confirmar,5766,confirmar,False
quitado,5767,quitado,False
probando,5769,probar,True
perímetro,5770,perímetro,False
pegado,5771,pegado,False
olviden,5773,olvidar,True
mentirosa,5774,mentiroso,True
forense,5776,forense,False
ésas,5777,ese,True
dignidad,5779,dignidad,False
detectives,5780,detective,False
deportes,5781,deporte,True
delicado,5782,delicado,False
cuarenta,5783,cuarenta,False
constante,5784,constante,False
bebes,5785,beber,True
sesos,5786,seso,False
seriamente,5787,seriamente,False
regresemos,5788,regresar,True
protegiendo,5789,proteger,True
muralla,5790,muralla,False
meterse,5791,meter,True
lleves,5792,llevar,True
inténtalo,5793,intentar,True
huye,5794,huir,True
embarazo,5795,embarazo,False
debimos,5797,deber,True
cuartos,5798,cuarto,True
copas,5799,copa,False
rehén,5800,rehén,True
pisos,5801,piso,True
persiguiendo,5802,perseguir,False
milagros,5803,milagro,True
horror,5805,horror,False
