rank,word,occurrences (ppm),lemma forms
6001,investigador,10,investigador
6002,fan,10,fan
6003,falsos,10,falso
6004,echarle,10,echar
6005,dire,10,decir
6006,cuide,10,cuidar
6007,comemos,10,comer
6008,transmisor,10,transmisor
6009,servido,10,servido servir
6010,salchichas,10,salchicha
6011,récord,10,record
6012,raíces,10,raíz
6013,propongo,10,proponer
6014,oficinas,10,oficina
6015,neo,10,neo neón
6016,navegar,10,navegar
6017,llevarnos,10,llevar
6018,lastima,10,lastima lástima
6019,granero,10,granero
6020,ginebra,10,ginebra
6021,evidencias,10,evidencia
6022,enseñarme,10,enseñar
6023,dejaras,10,dejar
6024,dañado,10,dañado dañar
6025,cuentes,10,contar
6026,bandas,10,banda
6027,avancen,10,avanzar
6028,ángulo,10,ángulo
6029,ancianos,10,anciano
6030,activado,10,activado activar
6031,acceder,10,acceder
6032,varón,10,varón
6033,sociales,10,social
6034,sake,10,sake
6035,recuperado,10,recuperado recuperar
6036,quedarán,10,quedar
6037,porfavor,10,por favor
6038,navaja,10,navaja
6039,muñeco,10,muñeco
6040,milord,10,milord
6041,manchas,10,mancha manchar
6042,escuchamos,10,escuchar
6043,entremos,10,entrar
6044,cosmos,10,cosmos
6045,conservar,10,conservar
6046,condesa,10,condesa
6047,ataúd,10,ataúd
6048,antena,10,antena
6049,anciana,10,anciano anciana
6050,ademas,10,además
6051,toro,10,toro
6052,subido,10,subido subir
6053,sígame,10,seguir
6054,recoge,10,recoger
6055,quemando,10,quemar
6056,preguntaré,10,preguntar
6057,pondría,10,poner
6058,pensión,10,pensión
6059,panel,10,panel
6060,muriera,10,morir
6061,llegarás,10,llegar
6062,inversión,10,inversión
6063,hablen,10,hablar
6064,geniales,10,genial
6065,genética,10,genética genético
6066,funciones,10,función
6067,enfermería,10,enfermería
6068,destruye,10,destruir
6069,destruirlo,10,destruir
6070,cargamento,10,cargamento
6071,calmado,10,calmado calmar
6072,cabe,10,caber
6073,billete,10,billete
6074,asustó,10,asustar
6075,aparecen,10,aparecer
6076,aléjese,10,alejar
6077,recuperación,10,recuperación
6078,portada,10,portada portado portar
6079,mojado,10,mojado mojar
6080,método,10,método
6081,masiva,10,masivo
6082,martillo,10,martillo martillar
6083,hospitales,10,hospital
6084,hallaron,10,hallar
6085,hallamos,10,hallar
6086,fax,10,fax
6087,exacta,10,exacto
6088,estrés,10,estrés
6089,empezaste,10,empezar
6090,echaron,10,echar
6091,cuidados,10,cuidado cuidar
6092,creíste,10,creer
6093,conteste,10,contestar
6094,avisar,10,avisar
6095,atraparon,10,atrapar
6096,viaja,10,viajar
6097,terrorismo,10,terrorismo
6098,tarado,10,tarado
6099,salchicha,10,salchicha
6100,pum,10,pum
6101,peste,10,peste
6102,niego,10,negar
6103,morgue,10,morgue
6104,misteriosa,10,misterioso
6105,miseria,10,miseria
6106,mantenimiento,10,mantenimiento
6107,malentendido,10,malentendido
6108,justamente,10,justamente
6109,iniciar,10,iniciar
6110,escondiendo,10,esconder
6111,cambiaste,10,cambiar
6112,caerá,10,caer
6113,bóveda,10,bóveda
6114,billetera,10,billetera
6115,amamos,10,amar
6116,unirse,10,unir
6117,soltera,10,soltera soltero
6118,mesas,10,mesa
6119,marte,10,marte
6120,logra,10,lograr
6121,indican,10,indicar
6122,imagínate,10,imaginar
6123,gusanos,10,gusano
6124,grabación,10,grabación
6125,fuegos,10,fuego
6126,firmada,10,firmado firmar
6127,experiencias,10,experiencia
6128,editor,10,editor
6129,asilo,10,asilo
6130,venid,9,venir
6131,vendrías,9,venir
6132,utiliza,9,utilizar
6133,tórax,9,tórax
6134,significan,9,significar
6135,saludo,9,saludo saludar
6136,ordenado,9,ordenado ordenar
6137,dales,9,dar
6138,cuchillos,9,cuchillo
6139,beba,9,beber
6140,barril,9,barril
6141,algodón,9,algodón
6142,ajedrez,9,ajedrez
6143,acostarte,9,acostar
6144,reno,9,reno
6145,llévenselo,9,llevar
6146,ligero,9,ligero
6147,inusual,9,inusual
6148,gases,9,gas
6149,estadio,9,estadio
6150,desee,9,desear
6151,convención,9,convención
6152,circuito,9,circuito
6153,azar,9,azar
6154,atrapa,9,atrapar
6155,asumo,9,asumir
6156,test,9,test
6157,termines,9,terminar
6158,reunir,9,reunir
6159,posee,9,poseer
6160,lenta,9,lento
6161,kilo,9,kilo kilogramo
6162,inyección,9,inyección
6163,ingeniero,9,ingeniero
6164,entres,9,entrar
6165,drama,9,drama
6166,derrotar,9,derrotar
6167,dedica,9,dedicar
6168,criado,9,criado criar
6169,consuelo,9,consuelo consolar
6170,conocidos,9,conocido conocer
6171,comeré,9,comer
6172,calzoncillos,9,calzoncillo
6173,calmate,9,calmar
6174,bobo,9,bobo
6175,bastantes,9,bastante
6176,bajado,9,bajado bajar
6177,ayudarles,9,ayudar
6178,afecto,9,afecto afectar
6179,recto,9,recto
6180,rebelión,9,rebelión
6181,pinturas,9,pintura
6182,murio,9,morir
6183,grabar,9,grabar
6184,durar,9,durar
6185,culpables,9,culpable
6186,cómico,9,cómico
6187,bendita,9,bendito
6188,artificial,9,artificial
6189,agradecer,9,agradecer
6190,adelantado,9,adelantado
6191,acabemos,9,acabar
6192,valen,9,valer
6193,talentos,9,talento
6194,separado,9,separado separar
6195,pusimos,9,poner
6196,menú,9,menú
6197,manténganse,9,mantener
6198,juguemos,9,jugar
6199,gral,9,Gral. general
6200,demora,9,demora demorar
6201,democracia,9,democracia
6202,cuelga,9,colgar
6203,cruzado,9,cruzado cruzar
6204,cristiano,9,cristiano
6205,caramelo,9,caramelo
6206,aprieta,9,apretar
6207,tomarlo,9,tomar
6208,tarta,9,tarta
6209,tales,9,tal
6210,supremo,9,supremo
6211,solucionar,9,solucionar
6212,sensores,9,sensor
6213,retrato,9,retrato retratar
6214,prometida,9,prometido prometer
6215,pagarle,9,pagar
6216,musica,9,música
6217,mejorando,9,mejorar
6218,granada,9,Granada granada granado granar
6219,espléndido,9,espléndido
6220,creando,9,crear
6221,billar,9,billar
6222,acercan,9,acercar
6223,yardas,9,yarda
6224,volvía,9,volver
6225,vehículos,9,vehículo
6226,tejido,9,tejido tejer
6227,signo,9,signo
6228,saturación,9,saturación
6229,picnic,9,picnic
6230,multa,9,multa multar
6231,lloviendo,9,llover
6232,literatura,9,literatura
6233,ire,9,ir
6234,enviamos,9,enviar
6235,cortas,9,cortar
6236,corren,9,correr
6237,congelado,9,congelado congelar
6238,comprobar,9,comprobar
6239,camarero,9,camarero
6240,bajos,9,bajo
6241,actualmente,9,actualmente
6242,turistas,9,turista
6243,sumamente,9,sumamente
6244,perderá,9,perder
6245,pagamos,9,pagar
6246,ovejas,9,oveja
6247,novias,9,novia
6248,muñecas,9,muñeca
6249,maní,9,maní
6250,madrina,9,madrina
6251,llevarás,9,llevar
6252,instintos,9,instinto
6253,hacíamos,9,hacer
6254,enseñé,9,enseñar
6255,conseguirlo,9,conseguir
6256,carbón,9,carbón
6257,avanzado,9,avanzado avanzar
6258,avance,9,avance avanzar
6259,autógrafo,9,autógrafo
6260,aumentar,9,aumentar
6261,aplauso,9,aplauso
6262,viuda,9,viuda viudo
6263,vacías,9,vacío
6264,universal,9,universal
6265,trabaje,9,trabajar
6266,tómala,9,tomar
6267,sorprendió,9,sorprender
6268,ríes,9,reír
6269,pulmón,9,pulmón
6270,próximas,9,próximo
6271,orcos,9,orco
6272,mezcla,9,mezcla mezclar
6273,meto,9,meter
6274,inglesa,9,inglés
6275,independencia,9,independencia
6276,huésped,9,huésped
6277,extrañar,9,extrañar
6278,encantar,9,encantar
6279,destruyendo,9,destruir
6280,corresponde,9,corresponder
6281,correctamente,9,correctamente
6282,coco,9,coco
6283,asustando,9,asustar
6284,administrador,9,administrador
6285,abogada,9,abogada
6286,tierno,9,tierno
6287,soledad,9,soledad
6288,recuerdes,9,recordar
6289,pope,9,pope
6290,perderemos,9,perder
6291,osos,9,oso
6292,oírte,9,oír
6293,escribiste,9,escribir
6294,depresión,9,depresión
6295,caramelos,9,caramelo
6296,basado,9,basado basar
6297,aventuras,9,aventura aventurar
6298,aumenta,9,aumentar
6299,amada,9,amado amar
6300,agotado,9,agotado agotar
6301,agarré,9,agarrar
6302,trabajador,9,trabajador
6303,rodar,9,rodar
6304,repite,9,repetir
6305,recordaré,9,recordar
6306,llover,9,llover
6307,entendió,9,entender
6308,contactar,9,contactar
6309,agradecería,9,agradecer
6310,usaré,9,usar
6311,tomaba,9,tomar
6312,sujétate,9,sujetar
6313,sospechas,9,sospecha sospechar
6314,soplón,9,soplón
6315,sándwich,9,sándwich
6316,reunido,9,reunido reunir
6317,prepare,9,preparar
6318,norteamericanos,9,norteamericano
6319,hallado,9,hallado hallar
6320,gustaban,9,gustar
6321,festival,9,festival
6322,eventos,9,evento
6323,escriba,9,escribir
6324,escogió,9,escoger
6325,demuestra,9,demostrar
6326,déjelo,9,dejar
6327,barata,9,barato barata
6328,banquete,9,banquete
6329,arreglos,9,arreglo
6330,alcanzado,9,alcanzado alcanzar
6331,acostarme,9,acostar
6332,sentiste,9,sentir
6333,plomo,9,plomo
6334,perdería,9,perder
6335,noté,9,notar
6336,fuí,9,ir ser
6337,destruida,9,destruido
6338,desperdicio,9,desperdicio
6339,conveniente,9,conveniente
6340,apártense,9,apartar
6341,amarilla,9,amarillo
6342,agarren,9,agarrar
6343,yate,9,yate
6344,vendré,9,venir
6345,soportarlo,9,soportar
6346,sencilla,9,sencillo
6347,regresaremos,9,regresar
6348,regimiento,9,regimiento
6349,quitarte,9,quitar
6350,ponme,9,poner
6351,peleamos,9,pelear
6352,muevanse,9,mover
6353,manicomio,9,manicomio
6354,lesbiana,9,lesbiana
6355,juzgado,9,juzgado juzgar
6356,jugaba,9,jugar
6357,inventó,9,inventar
6358,injusto,9,injusto
6359,farsa,9,farsa
6360,estribor,9,estribor
6361,esencial,9,esencial
6362,encontraba,9,encontrar
6363,conjunto,9,conjunto
6364,comprendido,9,comprendido comprender
6365,comercio,9,comercio comerciar
6366,chau,9,chau
6367,cazas,9,caza cazar
6368,atado,9,atado atar
6369,alimentos,9,alimento
6370,vagón,9,vagón
6371,tranquilidad,9,tranquilidad
6372,torta,9,torta
6373,similar,9,similar
6374,quedaste,9,quedar
6375,mandaron,9,mandar
6376,hondo,9,hondo
6377,haciéndolo,9,hacer
6378,gripe,9,gripe
6379,dirigen,9,dirigir
6380,diferencias,9,diferencia
6381,calibre,9,calibre
6382,botes,9,botar bote
6383,borrar,9,borrar
6384,asquerosa,9,asqueroso
6385,apague,9,apagar
6386,ahh,9,ahh
6387,abismo,9,abismo
6388,zoológico,9,zoológico
6389,salvación,9,salvación
6390,querrán,9,querer
6391,propiedades,9,propiedad
6392,permita,9,permitir
6393,llevaste,9,llevar
6394,llenas,9,lleno
6395,invento,9,invento inventar
6396,inferior,9,inferior
6397,huéspedes,9,huésped
6398,hoteles,9,hotel
6399,gigantes,9,gigante
6400,flujo,9,flujo
6401,esperábamos,9,esperar
6402,encantaba,9,encantar
6403,ebrio,9,ebrio
6404,dormí,9,dormir
6405,decides,9,decidir
6406,cobertura,9,cobertura
6407,cigarro,9,cigarro
6408,acepte,9,aceptar
6409,traía,9,traer
6410,terminemos,9,terminar
6411,seguirás,9,seguir
6412,reconocí,9,reconocer
6413,proxima,9,próximo
6414,ponle,9,poner
6415,plasma,9,plasma
6416,monitor,9,monitor
6417,lunar,9,lunar
6418,escucharlo,9,escuchar
6419,descarga,9,descarga descargar
6420,cuidaré,9,cuidar
6421,cometiendo,9,cometer
6422,centímetros,9,centímetro
6423,capturado,9,capturado capturar
6424,ardiente,9,ardiente
6425,usaremos,9,usar
6426,traten,9,tratar
6427,terminaron,9,terminar
6428,sacaremos,9,sacar
6429,rodando,9,rodar
6430,renuncio,9,renuncio renunciar
6431,recomiendo,9,recomendar
6432,ponía,9,poner
6433,policias,9,policía
6434,papeleo,9,papeleo
6435,novios,9,novio
6436,medicación,9,medicación
6437,fu,9,kung fu fu
6438,escenas,9,escena
6439,equivocados,9,equivocado
6440,cortaron,9,cortar
6441,contratos,9,contrato
6442,contaba,9,contar
6443,camilla,9,camilla
6444,bla,9,bla
6445,bellas,9,bello
6446,adecuada,9,adecuado
6447,viviente,9,viviente
6448,secuestrado,9,secuestrado secuestrar
6449,religioso,9,religioso
6450,regresaste,9,regresar
6451,permites,9,permitir
6452,perfectos,9,perfecto
6453,pelicula,9,película
6454,mínima,9,mínimo
6455,luchador,9,luchador
6456,lámpara,9,lámpara
6457,famosos,9,famoso
6458,extraterrestres,9,extraterrestre
6459,escotilla,9,escotilla
6460,dolió,9,doler
6461,condenada,9,condenado condenar
6462,andaba,9,andar
6463,traficante,9,traficante
6464,tiras,9,tira tirar
6465,tardaré,9,tardar
6466,salvé,9,salvar
6467,regresas,9,regresar
6468,recordarlo,9,recordar
6469,molestaría,9,molestar
6470,llamará,9,llamar
6471,feria,9,feria
6472,febrero,9,febrero
6473,eventualmente,9,eventualmente
6474,escondite,9,escondite
6475,duerma,9,dormir
6476,dijeras,9,decir
6477,creció,9,crecer
6478,colinas,9,colina
6479,atrevas,9,atrever
6480,ataquen,9,atacar
6481,apunten,9,apuntar
6482,antiguas,9,antiguo
6483,adolescentes,9,adolescente
6484,acusaciones,9,acusación
6485,supuse,9,suponer
6486,sgto,9,sargento
6487,recado,9,recado
6488,programado,9,programado programar
6489,patria,9,patria
6490,pariente,9,pariente
6491,necesaria,9,necesario
6492,mecánico,9,mecánico
6493,joya,9,joya
6494,inútiles,9,inútil
6495,hara,9,hacer
6496,ejecutivo,9,ejecutivo
6497,dulzura,9,dulzura
6498,disparé,9,disparar
6499,disparaste,9,disparar
6500,detendrá,9,detener
6501,desconocidos,9,desconocido desconocer
6502,comprarme,9,comprar
6503,bién,9,bien
6504,videos,9,video
6505,veredicto,9,veredicto
6506,trajimos,9,traer
6507,tocan,9,tocar
6508,tiré,9,tirar
6509,tardar,9,tardar
6510,suenas,9,sonar
6511,reservas,9,reserva reservar
6512,reciben,9,recibir
6513,invita,9,invitar
6514,granadas,9,granada granar
6515,grabado,9,grabado grabar
6516,falda,9,falda
6517,extraordinaria,9,extraordinario
6518,escondidas,9,escondido esconder
6519,direcciones,9,dirección
6520,comparado,9,comparado comparar
6521,clan,9,clan
6522,besos,9,beso
6523,angel,9,ángel
6524,afortunada,9,afortunado
6525,ácido,9,ácido
6526,tiren,9,tirar
6527,pongamos,9,poner
6528,planetas,9,planeta
6529,perdon,9,perdón
6530,pañales,9,pañal
6531,moriría,9,morir
6532,mexicano,9,mexicano
6533,marchó,9,marchar
6534,maletero,9,maletero
6535,individuo,9,individuo
6536,huelga,9,huelga
6537,habitual,9,habitual
6538,extranjeros,9,extranjero
6539,deseado,9,deseado desear
6540,dada,9,dado dar
6541,cohetes,9,cohete
6542,cocinero,9,cocinero
6543,científica,9,científico científica
6544,casaste,9,casar
6545,bigote,9,bigote
6546,avanza,9,avanzar
6547,atrapó,9,atrapar
6548,ansioso,9,ansioso
6549,taco,9,taco
6550,sana,9,sano
6551,peleen,9,pelear
6552,pasteles,9,pastel
6553,mirado,9,mirado mirar
6554,marinero,9,marinero
6555,echando,9,echar
6556,descubrieron,9,descubrir
6557,confesar,9,confesar
6558,compartimos,9,compartir
6559,bicho,9,bicho
6560,avisa,9,avisar
6561,atajo,9,atajo atajar
6562,acostarse,9,acostar
6563,voluntarios,9,voluntario
6564,marcador,9,marcador
6565,maquina,9,máquina
6566,gallinas,9,gallina
6567,estallar,9,estallar
6568,desafío,9,desafío desafiar
6569,decida,9,decidir
6570,cuadros,9,cuadro
6571,contador,9,contador
6572,británica,9,británico
6573,autor,9,autor
6574,arde,9,arder
6575,absoluta,9,absoluto
6576,vera,9,ver
6577,trece,9,trece
6578,supervisor,9,supervisor
6579,solitaria,9,solitario
6580,rindo,9,rendir
6581,paquetes,9,paquete
6582,oriente,9,oriente
6583,lastimarte,9,lastimar
6584,inestable,9,inestable
6585,habernos,9,haber
6586,fans,9,fan
6587,enseñaron,9,enseñar
6588,duermen,9,dormir
6589,documental,9,documental
6590,divina,9,divino
6591,criar,9,criar
6592,casarnos,9,casar
6593,bandidos,9,bandido
6594,agradecerle,9,agradecer
6595,abdomen,9,abdomen
6596,tortuga,9,tortuga
6597,tocarme,9,tocar
6598,tire,9,tirar
6599,revisen,9,revisar
6600,pañuelo,9,pañuelo
6601,levantarse,9,levantar
6602,imperial,9,imperial
6603,deprimido,9,deprimido deprimir
6604,cadera,9,cadera
6605,bandeja,9,bandeja
6606,aparezca,9,aparecer
6607,visitantes,8,visitante
6608,tumor,8,tumor
6609,todopoderoso,8,todopoderoso
6610,tentación,8,tentación
6611,sugerencia,8,sugerencia
6612,seguirán,8,seguir
6613,seguidores,8,seguidor
6614,saldrán,8,salir
6615,record,8,récord
6616,pruebe,8,probar
6617,ponla,8,poner
6618,permitirá,8,permitir
6619,permanece,8,permanecer
6620,olvidemos,8,olvidar
6621,mueran,8,morir
6622,mariposa,8,mariposa
6623,hockey,8,hockey
6624,fumo,8,fumar
6625,firmes,8,firme firmar
6626,echas,8,echar
6627,crítico,8,crítico
6628,carros,8,carro
6629,caravana,8,caravana
6630,bestias,8,bestia
6631,barrera,8,barrera
6632,acerquen,8,acercar
6633,tráelo,8,traer
6634,satisfacción,8,satisfacción
6635,revelar,8,revelar
6636,mueven,8,mover
6637,mosca,8,mosca
6638,metida,8,metido meter
6639,mascotas,8,mascota
6640,hablábamos,8,hablar
6641,ejércitos,8,ejército
6642,discutimos,8,discutir
6643,declarar,8,declarar
6644,conozcan,8,conocer
6645,colocar,8,colocar
6646,cinturones,8,cinturón
6647,ayudara,8,ayudar
6648,asumir,8,asumir
6649,asesinaron,8,asesinar
6650,alquilar,8,alquilar
6651,agujeros,8,agujero
6652,vuelos,8,vuelo
6653,sirvió,8,servir
6654,sirva,8,servir
6655,ruidos,8,ruido
6656,rincón,8,rincón
6657,quito,8,quitar
6658,putos,8,puto
6659,patear,8,patear
6660,paracaídas,8,paracaídas
6661,mear,8,mear
6662,irlanda,8,Irlanda
6663,honrado,8,honrado honrar
6664,escrita,8,escrito escribir
6665,complace,8,complacer
6666,cojo,8,cojo
6667,cazando,8,cazar
6668,capilla,8,capilla
6669,America,8,América
6670,volviera,8,volver
6671,verificar,8,verificar
6672,suélteme,8,soltar
6673,sirvientes,8,sirviente
6674,senadora,8,senadora
6675,semilla,8,semilla
6676,salio,8,salir
6677,quinta,8,quinta quinto
6678,pertenecen,8,pertenecer
6679,pendientes,8,pendiente
6680,partidos,8,partido partir
6681,nazi,8,nazi
6682,misterios,8,misterio
6683,instrumento,8,instrumento
6684,háganlo,8,hacer
6685,hacienda,8,hacienda
6686,fuma,8,fumar
6687,explique,8,explicar
6688,esparta,8,Esparta espartar
6689,escribes,8,escribir
6690,diseñado,8,diseñado diseñar
6691,canalla,8,canalla
6692,cambias,8,cambiar
6693,vaqueros,8,vaquero
6694,tronco,8,tronco
6695,toallas,8,toalla
6696,tendrían,8,tener
6697,significaba,8,significar
6698,sientan,8,sentar sentir
6699,salidas,8,salida salido salir
6700,políticas,8,político política
6701,oriental,8,oriental
6702,mutuamente,8,mutuamente
6703,lila,8,lila
6704,intimidad,8,intimidad
6705,grabando,8,grabar
6706,filmar,8,filmar
6707,fenomenal,8,fenomenal
6708,falsas,8,falsa falso
6709,evacuar,8,evacuar
6710,duelo,8,duelo doler
6711,dormiste,8,dormir
6712,dinosaurios,8,dinosaurio
6713,dados,8,dado dar
6714,cruza,8,cruzar
6715,conseguiremos,8,conseguir
6716,confíe,8,confiar
6717,conexiones,8,conexión
6718,cómplice,8,cómplice
6719,cerradura,8,cerradura
6720,asesor,8,asesor
6721,admitirlo,8,admitir
6722,vagabundo,8,vagabundo
6723,tomarme,8,tomar
6724,tarda,8,tardar
6725,sonriendo,8,sonreír
6726,so,8,so
6727,revisando,8,revisar
6728,prudente,8,prudente
6729,postal,8,postal
6730,po,8,po pues
6731,pizzas,8,pizza
6732,mariscal,8,mariscal
6733,marcos,8,marco
6734,marcharse,8,marchar
6735,lava,8,lava lavar
6736,flanco,8,flanco
6737,explico,8,explicar
6738,escúchenme,8,escuchar
6739,encárgate,8,encargar
6740,decidiste,8,decidir
6741,confuso,8,confuso
6742,condenados,8,condenado condenar
6743,comiencen,8,comenzar
6744,coman,8,comer
6745,cerrando,8,cerrar
6746,cd,8,CD
6747,vientos,8,viento
6748,traicionó,8,traicionar
6749,suyas,8,suyo
6750,suelen,8,soler
6751,romántica,8,romántico
6752,perderás,8,perder
6753,oración,8,oración
6754,occidental,8,occidental
6755,liberación,8,liberación
6756,levantado,8,levantado levantar
6757,gancho,8,gancho
6758,evolución,8,evolución
6759,escoge,8,escoger
6760,cueste,8,costar
6761,chef,8,chef
6762,árabe,8,árabe
6763,venían,8,venir
6764,venda,8,venda vender
6765,sustancia,8,sustancia
6766,secundario,8,secundario
6767,sacarla,8,sacar
6768,rubio,8,rubio
6769,presentado,8,presentado presentar
6770,precisa,8,preciso
6771,perteneces,8,pertenecer
6772,palos,8,palo
6773,oscuras,8,oscuro
6774,lunático,8,lunático
6775,lograremos,8,lograr
6776,llamados,8,llamado llamar
6777,leyó,8,leer
6778,inicio,8,inicio iniciar
6779,docenas,8,docena
6780,directora,8,directora
6781,complicada,8,complicado
6782,cogió,8,coger
6783,camara,8,cámara
6784,arruinó,8,arruinar
6785,apuro,8,apuro apurar
6786,abro,8,abrir
6787,vestuario,8,vestuario
6788,vergonzoso,8,vergonzoso
6789,sorprendería,8,sorprender
6790,sientate,8,sentar
6791,rastrear,8,rastrear
6792,proviene,8,provenir
6793,profesores,8,profesor
6794,primos,8,primo
6795,premios,8,premio
6796,permitió,8,permitir
6797,medico,8,médico
6798,marcar,8,marcar
6799,mantenlo,8,mantener
6800,jueces,8,juez
